ItemID,BillNo,Quantity,SellingDate,ItemName,SellingPriceDec
1,1379,1,"23","Samosa",7
1,1165,1,"23","Samosa",7
1,1372,1,"23","Samosa",7
1,639,1,"21","Samosa",7
1,4,2,"17","Samosa",7
1,323,4,"17","Samosa",7
1,679,1,"22","Samosa",7
1,1157,1,"23","Samosa",7
1,740,1,"21","Samosa",7
1,1603,1,"23","Samosa",7
1,5,2,"17","Samosa",7
1,793,1,"22","Samosa",7
1,756,1,"22","Samosa",7
1,133,2,"17","Samosa",7
1,338,2,"17","Samosa",7
1,1433,1,"00","Samosa",7
1,1273,1,"23","Samosa",7
1,753,1,"22","Samosa",7
1,131,1,"17","Samosa",7
1,740,1,"22","Samosa",7
1,1098,2,"22","Samosa",7
1,1089,2,"22","Samosa",7
1,1667,1,"23","Samosa",7
1,295,1,"17","Samosa",7
1,1076,2,"22","Samosa",7
1,871,1,"22","Samosa",7
1,107,3,"17","Samosa",7
1,1036,2,"22","Samosa",7
1,869,1,"22","Samosa",7
1,293,2,"17","Samosa",7
1,868,1,"22","Samosa",7
1,9,1,"17","Samosa",7
1,1013,2,"22","Samosa",7
1,866,1,"22","Samosa",7
1,883,1,"22","Samosa",7
1,897,1,"22","Samosa",7
1,225,1,"17","Samosa",7
1,860,2,"22","Samosa",7
1,625,2,"21","Samosa",7
1,169,2,"17","Samosa",7
1,857,2,"22","Samosa",7
1,624,2,"21","Samosa",7
1,580,2,"21","Samosa",7
1,856,2,"22","Samosa",7
1,11,2,"17","Samosa",7
1,1580,1,"00","Samosa",7
1,12,1,"17","Samosa",7
1,847,2,"22","Samosa",7
1,170,2,"17","Samosa",7
1,288,2,"17","Samosa",7
1,12,1,"17","Samosa",7
1,171,2,"17","Samosa",7
1,94,1,"17","Samosa",7
1,1060,1,"22","Samosa",7
1,176,3,"17","Samosa",7
1,1534,2,"23","Samosa",7
1,826,1,"22","Samosa",7
1,14,1,"17","Samosa",7
1,242,4,"17","Samosa",7
1,1568,2,"23","Samosa",7
1,178,1,"17","Samosa",7
1,88,2,"17","Samosa",7
1,195,1,"17","Samosa",7
1,182,2,"17","Samosa",7
1,87,2,"17","Samosa",7
1,181,3,"17","Samosa",7
1,985,1,"22","Samosa",7
1,86,1,"17","Samosa",7
1,182,2,"17","Samosa",7
1,817,1,"22","Samosa",7
1,19,2,"17","Samosa",7
1,976,1,"22","Samosa",7
1,974,2,"22","Samosa",7
1,1549,2,"23","Samosa",7
1,967,1,"22","Samosa",7
1,183,2,"17","Samosa",7
1,175,1,"17","Samosa",7
1,809,2,"22","Samosa",7
1,806,1,"22","Samosa",7
1,1223,1,"23","Samosa",7
1,341,1,"17","Samosa",7
1,21,2,"17","Samosa",7
1,1606,1,"23","Samosa",7
1,186,1,"17","Samosa",7
1,319,1,"17","Samosa",7
1,968,1,"22","Samosa",7
1,187,1,"17","Samosa",7
1,1552,1,"23","Samosa",7
1,950,2,"22","Samosa",7
1,319,1,"17","Samosa",7
1,25,2,"17","Samosa",7
1,316,1,"17","Samosa",7
1,942,2,"22","Samosa",7
1,188,1,"17","Samosa",7
1,939,1,"22","Samosa",7
1,78,1,"17","Samosa",7
1,1276,1,"23","Samosa",7
1,26,2,"17","Samosa",7
1,514,2,"20","Samosa",7
1,923,1,"22","Samosa",7
1,922,1,"22","Samosa",7
1,921,1,"22","Samosa",7
1,1548,2,"23","Samosa",7
1,189,2,"17","Samosa",7
1,191,2,"17","Samosa",7
1,181,7,"17","Samosa",7
1,315,1,"17","Samosa",7
1,313,2,"17","Samosa",7
1,192,2,"17","Samosa",7
1,30,1,"17","Samosa",7
1,487,2,"20","Samosa",7
1,1538,3,"23","Samosa",7
1,184,1,"17","Samosa",7
1,193,1,"17","Samosa",7
1,83,2,"17","Samosa",7
1,32,2,"17","Samosa",7
1,900,1,"22","Samosa",7
1,1602,1,"00","Samosa",7
1,195,2,"17","Samosa",7
1,963,1,"23","Samosa",7
1,1521,1,"23","Samosa",7
1,969,1,"23","Samosa",7
1,199,1,"17","Samosa",7
1,200,1,"17","Samosa",7
1,201,2,"17","Samosa",7
1,892,1,"22","Samosa",7
1,691,2,"21","Samosa",7
1,1513,1,"23","Samosa",7
1,308,1,"17","Samosa",7
1,229,2,"17","Samosa",7
1,1508,2,"23","Samosa",7
1,976,1,"23","Samosa",7
1,70,2,"17","Samosa",7
1,69,2,"17","Samosa",7
1,1504,1,"23","Samosa",7
1,187,1,"17","Samosa",7
1,68,1,"17","Samosa",7
1,307,1,"17","Samosa",7
1,978,2,"23","Samosa",7
1,293,1,"17","Samosa",7
1,287,2,"17","Samosa",7
1,66,1,"17","Samosa",7
1,59,2,"17","Samosa",7
1,397,1,"20","Samosa",7
1,984,1,"23","Samosa",7
1,983,1,"22","Samosa",7
1,38,2,"17","Samosa",7
1,35,1,"17","Samosa",7
1,986,2,"23","Samosa",7
1,993,1,"22","Samosa",7
1,1483,1,"23","Samosa",7
1,25,1,"17","Samosa",7
1,1474,2,"23","Samosa",7
1,25,1,"17","Samosa",7
1,190,1,"17","Samosa",7
1,1463,2,"23","Samosa",7
1,97,1,"17","Samosa",7
1,1487,1,"23","Samosa",7
1,1609,1,"23","Samosa",7
1,1110,1,"22","Samosa",7
1,22,1,"17","Samosa",7
1,1107,1,"22","Samosa",7
1,1397,1,"23","Samosa",7
1,1612,1,"23","Samosa",7
1,990,2,"23","Samosa",7
1,571,2,"21","Samosa",7
1,999,1,"23","Samosa",7
1,1379,3,"23","Samosa",7
1,1094,1,"22","Samosa",7
1,207,2,"17","Samosa",7
1,206,1,"17","Samosa",7
1,205,2,"17","Samosa",7
1,1071,1,"22","Samosa",7
1,1067,2,"22","Samosa",7
1,1471,1,"23","Samosa",7
1,1469,1,"23","Samosa",7
1,1059,1,"22","Samosa",7
1,1368,2,"23","Samosa",7
1,1378,1,"23","Samosa",7
1,907,1,"22","Samosa",7
1,1352,1,"23","Samosa",7
1,1058,2,"22","Samosa",7
1,31,1,"17","Samosa",7
1,287,2,"17","Samosa",7
1,1022,38,"23","Samosa",7
1,1348,1,"23","Samosa",7
1,1338,2,"23","Samosa",7
1,954,1,"22","Samosa",7
1,1335,1,"23","Samosa",7
1,1175,2,"23","Samosa",7
2,1396,1,"00","Veg Petty",8
2,934,1,"23","Veg Petty",8
2,182,1,"17","Veg Petty",8
2,176,2,"17","Veg Petty",8
2,184,2,"17","Veg Petty",8
2,185,2,"17","Veg Petty",8
2,63,4,"17","Veg Petty",8
2,180,2,"17","Veg Petty",8
2,181,2,"17","Veg Petty",8
2,67,2,"17","Veg Petty",8
2,186,2,"17","Veg Petty",8
2,187,2,"17","Veg Petty",8
2,188,2,"17","Veg Petty",8
2,69,2,"17","Veg Petty",8
2,70,6,"17","Veg Petty",8
2,184,2,"17","Veg Petty",8
2,190,1,"17","Veg Petty",8
2,71,2,"17","Veg Petty",8
2,72,1,"17","Veg Petty",8
2,193,4,"17","Veg Petty",8
2,185,2,"17","Veg Petty",8
2,186,2,"17","Veg Petty",8
2,14,2,"17","Veg Petty",8
2,73,2,"17","Veg Petty",8
2,760,1,"21","Veg Petty",8
2,13,1,"17","Veg Petty",8
2,75,2,"17","Veg Petty",8
2,76,1,"17","Veg Petty",8
2,187,2,"17","Veg Petty",8
2,188,2,"17","Veg Petty",8
2,77,2,"17","Veg Petty",8
2,78,2,"17","Veg Petty",8
2,79,4,"17","Veg Petty",8
2,88,1,"17","Veg Petty",8
2,129,2,"17","Veg Petty",8
2,80,2,"17","Veg Petty",8
2,178,1,"17","Veg Petty",8
2,196,1,"17","Veg Petty",8
2,197,1,"17","Veg Petty",8
2,201,3,"17","Veg Petty",8
2,781,4,"21","Veg Petty",8
2,202,3,"17","Veg Petty",8
2,81,3,"17","Veg Petty",8
2,204,2,"17","Veg Petty",8
2,131,1,"17","Veg Petty",8
2,132,1,"17","Veg Petty",8
2,198,2,"17","Veg Petty",8
2,82,4,"17","Veg Petty",8
2,199,2,"17","Veg Petty",8
2,83,2,"17","Veg Petty",8
2,205,2,"17","Veg Petty",8
2,64,2,"17","Veg Petty",8
2,206,2,"17","Veg Petty",8
2,12,2,"17","Veg Petty",8
2,207,3,"17","Veg Petty",8
2,208,2,"17","Veg Petty",8
2,11,2,"17","Veg Petty",8
2,85,1,"17","Veg Petty",8
2,86,2,"17","Veg Petty",8
2,210,2,"17","Veg Petty",8
2,87,2,"17","Veg Petty",8
2,211,2,"17","Veg Petty",8
2,212,3,"17","Veg Petty",8
2,10,3,"17","Veg Petty",8
2,213,1,"17","Veg Petty",8
2,214,3,"17","Veg Petty",8
2,215,1,"17","Veg Petty",8
2,216,2,"17","Veg Petty",8
2,65,1,"17","Veg Petty",8
2,217,2,"17","Veg Petty",8
2,133,2,"17","Veg Petty",8
2,88,2,"17","Veg Petty",8
2,218,2,"17","Veg Petty",8
2,1,3,"17","Veg Petty",8
2,89,2,"17","Veg Petty",8
2,90,1,"17","Veg Petty",8
2,91,1,"17","Veg Petty",8
2,175,2,"17","Veg Petty",8
2,92,2,"17","Veg Petty",8
2,9,2,"17","Veg Petty",8
2,224,1,"17","Veg Petty",8
2,93,2,"17","Veg Petty",8
2,1321,2,"23","Veg Petty",8
2,4,2,"17","Veg Petty",8
2,225,2,"17","Veg Petty",8
2,628,1,"21","Veg Petty",8
2,8,1,"17","Veg Petty",8
2,227,2,"17","Veg Petty",8
2,1032,1,"22","Veg Petty",8
2,623,1,"21","Veg Petty",8
2,229,4,"17","Veg Petty",8
2,95,1,"17","Veg Petty",8
2,230,2,"18","Veg Petty",8
2,5,3,"17","Veg Petty",8
2,232,1,"18","Veg Petty",8
2,233,2,"18","Veg Petty",8
2,1462,1,"23","Veg Petty",8
2,136,1,"17","Veg Petty",8
2,1460,1,"23","Veg Petty",8
2,173,2,"17","Veg Petty",8
2,217,2,"17","Veg Petty",8
2,1453,2,"23","Veg Petty",8
2,234,2,"18","Veg Petty",8
2,851,1,"22","Veg Petty",8
2,1450,2,"23","Veg Petty",8
2,235,2,"18","Veg Petty",8
2,237,1,"18","Veg Petty",8
2,29,2,"17","Veg Petty",8
2,238,4,"18","Veg Petty",8
2,96,2,"17","Veg Petty",8
2,239,2,"18","Veg Petty",8
2,855,1,"22","Veg Petty",8
2,240,6,"18","Veg Petty",8
2,7,2,"17","Veg Petty",8
2,97,2,"17","Veg Petty",8
2,9,1,"17","Veg Petty",8
2,10,2,"17","Veg Petty",8
2,1203,1,"23","Veg Petty",8
2,1351,2,"23","Veg Petty",8
2,6,2,"17","Veg Petty",8
2,1353,2,"23","Veg Petty",8
2,245,2,"18","Veg Petty",8
2,246,2,"18","Veg Petty",8
2,4,2,"17","Veg Petty",8
2,1354,1,"23","Veg Petty",8
2,1356,1,"23","Veg Petty",8
2,190,2,"17","Veg Petty",8
2,1442,1,"23","Veg Petty",8
2,1194,1,"23","Veg Petty",8
2,1358,2,"23","Veg Petty",8
2,12,2,"17","Veg Petty",8
2,13,2,"17","Veg Petty",8
2,3,2,"17","Veg Petty",8
2,1191,1,"23","Veg Petty",8
2,171,2,"17","Veg Petty",8
2,2,1,"17","Veg Petty",8
2,169,2,"17","Veg Petty",8
2,137,2,"17","Veg Petty",8
2,14,2,"17","Veg Petty",8
2,15,2,"17","Veg Petty",8
2,1,2,"17","Veg Petty",8
2,16,2,"17","Veg Petty",8
2,17,2,"17","Veg Petty",8
2,107,4,"17","Veg Petty",8
2,108,2,"17","Veg Petty",8
2,109,2,"17","Veg Petty",8
2,1423,2,"23","Veg Petty",8
2,110,3,"17","Veg Petty",8
2,18,2,"17","Veg Petty",8
2,138,2,"17","Veg Petty",8
2,111,4,"17","Veg Petty",8
2,19,3,"17","Veg Petty",8
2,113,2,"17","Veg Petty",8
2,139,1,"17","Veg Petty",8
2,1409,1,"23","Veg Petty",8
2,20,2,"17","Veg Petty",8
2,1406,1,"23","Veg Petty",8
2,115,2,"17","Veg Petty",8
2,116,2,"17","Veg Petty",8
