BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
221,151,1,22-08-20 20:37,12,F0000,1,5
221,151,3,17-08-20 20:46,12,F4682,1,3
221,151,4,27-08-20 21:12,12,H2056,2,2
221,151,10,24-08-20 20:33,12,F2402,2,1
221,154,1,15-08-20 22:35,22,F0000,3,2
221,154,1,16-08-20 22:07,22,F0000,3,1
221,155,5,24-08-20 20:33,27,F2402,3,3
221,156,1,19-08-20 20:28,30,F1479,2,1
221,157,1,26-08-20 20:48,32,F4793,1,4
221,159,1,12-08-20 22:40,20,F0000,2,5
221,159,1,14-08-20 22:44,20,F0000,1,4
221,161,1,26-08-20 20:48,12,F4793,2,5
221,164,1,17-08-20 20:46,81,F4682,2,5
221,164,1,21-08-20 20:32,81,F2097,1,5
221,164,2,27-08-20 21:12,81,H2056,1,2
222,2,2,22-08-20 20:37,8,F0000,1,4
222,16,1,12-08-20 22:41,5,F0000,2,3
222,16,1,12-08-20 22:41,5,F0000,3,2
222,16,1,14-08-20 22:45,5,F0000,2,3
222,107,2,12-08-20 22:41,10,F0000,1,3
222,124,1,28-08-20 20:34,25,F4498,1,4
222,128,1,26-08-20 20:49,25,F2856,3,3
222,133,2,18-08-20 20:38,21,F0000,2,3
222,140,1,18-08-20 20:38,26,F0000,1,4
222,140,1,18-08-20 20:38,26,F0000,3,1
222,146,1,19-08-20 20:28,85,F3390,1,5
222,148,1,18-08-20 20:38,90,F0000,4,5
222,151,3,19-08-20 20:28,12,F3390,2,1
222,151,3,23-08-20 20:36,12,F3047,1,1
222,151,5,24-08-20 20:33,12,F2230,1,2
222,154,1,13-08-20 22:29,22,F0000,1,2
222,154,1,15-08-20 22:36,22,F0000,2,3
222,154,1,21-08-20 20:32,22,F2227,1,2
222,154,1,26-08-20 20:49,22,F2856,2,5
222,154,2,17-08-20 20:46,22,F3881,1,2
222,156,1,19-08-20 20:28,30,F3390,3,4
222,157,1,14-08-20 22:45,32,F0000,1,5
222,157,1,15-08-20 22:36,32,F0000,1,4
222,157,1,26-08-20 20:49,32,F2856,1,4
222,159,1,16-08-20 22:07,20,F0000,1,4
222,159,1,20-08-20 20:55,20,F2795,1,1
222,164,1,23-08-20 20:36,81,F3047,2,3
222,164,1,24-08-20 20:33,81,F2230,2,1
222,167,2,27-08-20 21:13,10,F2705,1,3
222,169,1,28-08-20 20:34,25,F4498,2,4
222,170,1,25-08-20 20:52,20,F2761,1,4
223,12,2,28-08-20 20:34,30,F3742,1,3
223,14,2,26-08-20 20:49,10,F2297,1,4
223,107,1,29-08-20 20:32,10,F3404,1,5
223,124,1,19-08-20 20:28,25,F4799,1,3
223,128,1,12-08-20 22:41,25,F0000,1,4
223,128,2,16-08-20 22:07,25,F0000,1,3
223,130,1,14-08-20 22:45,21,F0000,1,1
223,133,1,18-08-20 20:39,21,F4760,4,4
223,146,1,18-08-20 20:39,85,F4760,1,5
223,146,1,25-08-20 20:52,85,F4891,1,3
223,151,1,21-08-20 20:32,12,F2097,1,3
223,151,2,13-08-20 22:30,12,F0000,1,2
223,151,2,22-08-20 20:37,12,F3744,1,4
223,151,5,15-08-20 22:36,12,F0000,2,2
223,151,5,25-08-20 20:52,12,F4891,3,3
223,151,7,18-08-20 20:39,12,F4760,3,1
223,154,4,20-08-20 20:55,22,F2553,1,2
223,154,6,18-08-20 20:39,22,F4760,5,3
223,155,1,18-08-20 20:39,27,F4760,6,3
223,155,1,22-08-20 20:37,27,F3744,2,2
223,155,1,27-08-20 21:14,27,F3329,1,2
223,155,2,15-08-20 22:36,27,F0000,3,1
223,159,3,17-08-20 20:46,20,F0000,1,3
223,161,1,23-08-20 20:36,12,F3423,1,3
223,164,1,13-08-20 22:30,85,F0000,2,2
223,164,1,15-08-20 22:36,81,F0000,1,5
223,164,1,25-08-20 20:52,81,F4891,2,4
223,164,2,18-08-20 20:39,81,F4760,2,4
223,164,2,24-08-20 20:34,81,F0000,1,5
223,170,2,28-08-20 20:34,20,F3742,2,1
224,2,2,22-08-20 20:38,8,F0000,2,3
224,15,1,25-08-20 20:53,35,F2487,3,2
224,25,3,25-08-20 20:53,10,F2487,1,3
224,74,1,28-08-20 20:34,25,F3150,2,2
224,108,1,20-08-20 20:55,20,F3493,1,4
224,124,1,19-08-20 20:29,25,F4617,1,4
224,124,1,27-08-20 21:14,25,F3444,1,2
224,124,1,28-08-20 20:34,25,F3150,1,5
224,128,1,17-08-20 20:47,25,F3659,1,5
224,128,1,24-08-20 20:34,25,F3139,1,3
224,128,1,26-08-20 20:49,25,F0000,1,3
224,130,1,15-08-20 22:36,21,F0000,1,5
224,130,1,22-08-20 20:38,21,F0000,1,4
224,134,1,12-08-20 22:42,15,F0000,1,1
224,146,1,18-08-20 20:39,85,F5494,1,3
224,154,1,13-08-20 22:30,22,F0000,1,3
