Consequent	Antecedent 	Support %	Confidence %
ItemName_Butter Naan	StudentIDval_6 and hours_21	0.336	100.0
ItemName_Butter Naan	StudentIDval_6 and hours_20	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_6 and hours_24	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_6 and hours_22	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_6 and hours_23	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_1 and hours_24	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_1 and hours_22	0.336	100.0
ItemName_Butter Naan	StudentIDval_7 and hours_24	0.336	100.0
ItemName_Butter Naan	StudentIDval_7 and hours_23	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_7 and hours_22	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_2 and hours_24	0.336	100.0
ItemName_Ice Cream Shake	StudentIDval_6	1.678	60.0
ItemName_Ice Cream Shake	StudentIDval_1	3.02	55.556
ItemName_Butter Naan	StudentIDval_1 and hours_21	0.671	50.0
ItemName_Butter Naan	StudentIDval_1 and hours_20	0.671	50.0
ItemName_Ice Cream Shake	StudentIDval_1 and hours_21	0.671	50.0
ItemName_Ice Cream Shake	StudentIDval_1 and hours_20	0.671	50.0
ItemName_Plain Maggi	StudentIDval_3 and hours_24	0.671	50.0
ItemName_SINGLE SCOOP	StudentIDval_5 and hours_20	0.671	50.0
ItemName_Butter Naan	StudentIDval_2 and hours_21	0.671	50.0
ItemName_Ice Cream Shake	StudentIDval_2 and hours_21	0.671	50.0
ItemName_Ice Cream Shake	StudentIDval_3 and hours_24	0.671	50.0
ItemName_Butter Naan	StudentIDval_5 and hours_20	0.671	50.0
ItemName_Butter Naan	StudentIDval_6	1.678	40.0
ItemName_BHELPURI	hours_16	1.007	33.333
ItemName_Veg Petty	hours_16	1.007	33.333
ItemName_Pastry	hours_16	1.007	33.333
ItemName_Butter Naan	StudentIDval_7	4.027	33.333
ItemName_BHELPURI	hours_16 and StudentIDval_8	1.007	33.333
ItemName_Veg Petty	hours_16 and StudentIDval_8	1.007	33.333
ItemName_Pastry	hours_16 and StudentIDval_8	1.007	33.333
ItemName_DEW MIX	StudentIDval_1 and hours_23	1.007	33.333
ItemName_Chese Toast	StudentIDval_1 and hours_23	1.007	33.333
ItemName_Ice Cream Shake	StudentIDval_1 and hours_23	1.007	33.333
ItemName_SINGLE SCOOP	StudentIDval_7 and hours_21	1.007	33.333
ItemName_Butter Naan	StudentIDval_7 and hours_21	1.007	33.333
ItemName_Ice Cream Shake	StudentIDval_7 and hours_21	1.007	33.333
ItemName_Chese Toast	StudentIDval_4 and hours_21	1.007	33.333
ItemName_Butter Naan	StudentIDval_4 and hours_21	1.007	33.333
ItemName_Ice Cream Shake	StudentIDval_4 and hours_21	1.007	33.333
ItemName_Ice Cream Shake	StudentIDval_2	5.705	29.412
ItemName_Ice Cream Shake	StudentIDval_7	4.027	25.0
ItemName_Chese Burger	StudentIDval_4 and hours_22	1.342	25.0
ItemName_CAKE SANDWICH	StudentIDval_5 and hours_22	1.342	25.0
ItemName_Tandury Chicken 1/2	StudentIDval_2 and hours_20	1.342	25.0
ItemName_PEPSI 600ML	StudentIDval_2 and hours_20	1.342	25.0
ItemName_DEW MIX	StudentIDval_2 and hours_23	1.342	25.0
ItemName_DEW MIX	StudentIDval_3 and hours_23	1.342	25.0
ItemName_DEW MIX	StudentIDval_5 and hours_22	1.342	25.0
ItemName_Chese Toast	StudentIDval_2 and hours_23	1.342	25.0
ItemName_Butter Naan	StudentIDval_2 and hours_23	1.342	25.0
ItemName_Butter Naan	StudentIDval_2 and hours_20	1.342	25.0
ItemName_Ice Cream Shake	StudentIDval_2 and hours_23	1.342	25.0
ItemName_Ice Cream Shake	StudentIDval_2 and hours_20	1.342	25.0
ItemName_Chese Toast	StudentIDval_3 and hours_23	1.342	25.0
ItemName_Chese Toast	StudentIDval_4 and hours_22	1.342	25.0
ItemName_Butter Naan	StudentIDval_3 and hours_23	1.342	25.0
ItemName_Ice Cream Shake	StudentIDval_3 and hours_23	1.342	25.0
ItemName_Butter Naan	StudentIDval_4 and hours_22	1.342	25.0
ItemName_Ice Cream Shake	StudentIDval_4 and hours_22	1.342	25.0
ItemName_Butter Naan	StudentIDval_5 and hours_22	1.342	25.0
ItemName_Ice Cream Shake	StudentIDval_5 and hours_22	1.342	25.0
ItemName_Butter Naan	StudentIDval_2	5.705	23.529
ItemName_Ice Cream Shake	StudentIDval_3	7.383	22.727
ItemName_Butter Naan	StudentIDval_1	3.02	22.222
ItemName_Butter Naan	StudentIDval_4	8.389	20.0
ItemName_Ice Cream Shake	StudentIDval_4	8.389	20.0
ItemName_Tandury Chicken 1/2	StudentIDval_3 and hours_20	1.678	20.0
ItemName_PEPSI 600ML	StudentIDval_3 and hours_21	1.678	20.0
ItemName_PEPSI 600ML	StudentIDval_3 and hours_20	1.678	20.0
ItemName_DEW MIX	StudentIDval_3 and hours_21	1.678	20.0
ItemName_Chese Toast	StudentIDval_3 and hours_21	1.678	20.0
ItemName_Chese Toast	StudentIDval_3 and hours_20	1.678	20.0
ItemName_Butter Naan	StudentIDval_3 and hours_21	1.678	20.0
ItemName_Butter Naan	StudentIDval_3 and hours_20	1.678	20.0
ItemName_Ice Cream Shake	StudentIDval_3 and hours_21	1.678	20.0
