Consequent	Antecedent 	Support %	Confidence %
ItemName_Butter Chicken	hours_20	15.931	8.434
ItemName_COKE MIX 600 ML	hours_20	15.931	8.434
ItemName_Butter Naan	hours_25	6.91	8.333
ItemName_Tandury Chicken 1/2	StudentIDval_7 and hours_20	2.303	8.333
ItemName_CAKE SANDWICH	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Chicken Rice	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Plain Dosa	StudentIDval_7 and hours_20	2.303	8.333
ItemName_KADHAI PANEER	StudentIDval_7 and hours_20	2.303	8.333
ItemName_KADHAI PANEER	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Paneer Franky	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Chese Burger	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Samosa	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Butter Chicken	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Butter Chicken	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Masala Dosa	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Masala Dosa	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Plain Maggi	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Chicken Sandwich	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Chicken Sandwich	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Ice Cream Shake	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Chese Toast	StudentIDval_7 and hours_20	2.303	8.333
ItemName_COKE MIX 600 ML	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Butter Naan	StudentIDval_7 and hours_20	2.303	8.333
ItemName_Ice Cream Shake	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Chese Toast	StudentIDval_6 and hours_22	2.303	8.333
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Butter Naan	StudentIDval_6 and hours_22	2.303	8.333
ItemName_Masala Dosa	StudentIDval_6	9.597	8.0
ItemName_Plain Maggi	StudentIDval_6	9.597	8.0
ItemName_Chese Toast	StudentIDval_6	9.597	8.0
ItemName_Chicken Sandwich	hours_24	16.891	7.955
ItemName_Chese Toast	hours_24	16.891	7.955
ItemName_COKE MIX 600 ML	hours_24	16.891	7.955
ItemName_Chicken Sandwich	hours_22	19.386	7.921
ItemName_Chicken Sandwich	hours_23	19.386	7.921
ItemName_Ice Cream Shake	hours_22	19.386	7.921
ItemName_Chese Toast	hours_22	19.386	7.921
ItemName_Chese Toast	hours_23	19.386	7.921
ItemName_Butter Naan	hours_22	19.386	7.921
ItemName_Butter Naan	hours_23	19.386	7.921
ItemName_COKE MIX 600 ML	hours_21	14.779	7.792
ItemName_Fried Maggi	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Fried Maggi	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Plain Dosa	StudentIDval_5 and hours_23	2.495	7.692
ItemName_CHCO PIE	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Paneer Franky	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Paneer Franky	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Samosa	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Samosa	StudentIDval_1 and hours_24	2.495	7.692
ItemName_PULPY ORANGE	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Butter Chicken	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Masala Dosa	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Masala Dosa	StudentIDval_1 and hours_24	2.495	7.692
